fips_state,state_name,year,total_population,total_uninsured,uninsured_rate,employer_coverage,direct_purchase,medicaid_coverage
01,Alabama,2021,4957633,488571,9.85,2853083,1198424,124437
04,Arizona,2021,7174053,766140,10.68,4069871,1759507,318071
05,Arkansas,2021,2974701,273029,9.18,1709160,650877,145026
06,California,2021,38724294,2712540,7.0,23733595,9969813,2473537
08,Colorado,2021,5715497,455360,7.97,3557943,1598725,218648
09,Connecticut,2021,3557526,183531,5.16,2232306,936956,189876
10,Delaware,2021,987964,56726,5.74,579040,241902,42832
11,District of Columbia,2021,659979,24227,3.67,450905,203462,44216
12,Florida,2021,21465883,2598467,12.11,11034830,4939470,542620
13,Georgia,2021,10600385,1338922,12.63,6286316,2731675,231724
15,Hawaii,2021,1381713,54462,3.94,807656,302571,59402
16,Idaho,2021,1879248,165929,8.83,1118583,514317,62839
17,Illinois,2021,12495329,875099,7.0,7971587,3459255,524713
18,Indiana,2021,6707875,504396,7.52,4219253,1864169,267185
19,Iowa,2021,3151182,151285,4.8,2006590,900520,119367
20,Kansas,2021,2878792,263730,9.16,1781311,829206,46983
21,Kentucky,2021,4428392,250787,5.66,2626331,1013787,307914
22,Louisiana,2021,4518319,345499,7.65,2619815,930776,287473
23,Maine,2021,1357120,77639,5.72,765635,339094,54932
24,Maryland,2021,6059298,369269,6.09,3784476,1573654,247161
25,Massachusetts,2021,6916106,172655,2.5,4452056,1966591,413804
26,Michigan,2021,9949959,495404,4.98,6122622,2639247,507179
27,Minnesota,2021,5651958,251824,4.46,3685043,1681897,236595
28,Mississippi,2021,2885936,343002,11.89,1612987,617138,87908
29,Missouri,2021,6063301,570898,9.42,3659383,1670698,132410
30,Montana,2021,1088496,89432,8.22,603580,265090,44810
31,Nebraska,2021,1936190,137604,7.11,1230076,587625,39805
32,Nevada,2021,3105760,361664,11.64,1767834,744957,135512
33,New Hampshire,2021,1372918,70511,5.14,873608,381873,39432
34,New Jersey,2021,9163640,656728,7.17,5859378,2544856,344807
35,New Mexico,2021,2077326,207125,9.97,1087022,354839,152374
36,New York,2021,19599048,1019287,5.2,11880905,4733680,1375275
37,North Carolina,2021,10345935,1078109,10.42,6010975,2532943,245471
38,North Dakota,2021,756440,59397,7.85,470808,248229,18583
39,Ohio,2021,11611229,757709,6.53,7141562,3052598,566071
40,Oklahoma,2021,3905272,537825,13.77,2191894,887805,95728
41,Oregon,2021,4206414,255438,6.07,2486128,1062475,224936
42,Pennsylvania,2021,12767386,701541,5.49,7747161,3344154,534838
44,Rhode Island,2021,1080438,46945,4.34,660992,273575,59997
45,South Carolina,2021,5099812,511935,10.04,2875122,1175496,133438
46,South Dakota,2021,877855,83320,9.49,529825,247553,10809
47,Tennessee,2021,6872677,686104,9.98,3949777,1704602,207506
48,Texas,2021,29066872,5224044,17.97,16749147,7314468,506401
49,Utah,2021,3309594,298788,9.03,2236605,1240872,57003
50,Vermont,2021,639228,23375,3.66,383387,162014,36978
51,Virginia,2021,8412758,574178,6.83,5171186,2273661,269258
53,Washington,2021,7618375,488053,6.41,4746113,2045743,317286
