year,state_abbr,platform,total_plan_selections,new_consumers,avg_monthly_premium,avg_premium_after_aptc,aptc_consumers,aptc_avg_amount,aptc_avg_premium_after,csr_consumers,total_reenrollees,age_0_17,age_18_25,age_26_34,age_35_44,age_45_54,age_55_64,age_65_plus,male,female,premium_lte_10,pct_with_aptc
2020,AK,HC.gov,17696.0,4249.0,739.0,187.0,14545.0,671.0,89.0,3938.0,13447.0,2651.0,1148.0,3252.0,3029.0,2914.0,4492.0,210.0,8346.0,9350.0,,82.2
2020,AL,HC.gov,160429.0,37118.0,691.0,130.0,144062.0,625.0,79.0,110618.0,123311.0,4221.0,17773.0,29179.0,29790.0,33662.0,44989.0,815.0,66222.0,94207.0,,89.8
2020,AR,HC.gov,64360.0,14484.0,522.0,197.0,54638.0,383.0,147.0,36131.0,49876.0,5890.0,5433.0,9314.0,9998.0,12094.0,21098.0,533.0,28131.0,36229.0,,84.9
2020,AZ,HC.gov,153020.0,34391.0,589.0,220.0,119655.0,472.0,130.0,66554.0,118629.0,23532.0,12075.0,18599.0,20205.0,27015.0,50063.0,1531.0,69687.0,83333.0,,78.2
2020,CA,SBE,1538819.0,418052.0,569.0,185.0,1308064.0,445.0,134.0,648202.0,1120767.0,110268.0,150542.0,264143.0,234424.0,319562.0,447742.0,12138.0,734220.0,804599.0,,85.0
2020,CO,SBE,166852.0,34383.0,478.0,205.0,122438.0,368.0,135.0,49593.0,132469.0,16878.0,12057.0,29017.0,26824.0,28016.0,46319.0,7741.0,79446.0,87406.0,,73.4
2020,CT,SBE,107833.0,25280.0,684.0,244.0,74413.0,638.0,97.0,46677.0,82553.0,8005.0,9682.0,15386.0,14252.0,22023.0,36627.0,1858.0,49524.0,58309.0,,69.0
2020,DC,SBE,17538.0,4214.0,534.0,505.0,1051.0,422.0,219.0,356.0,13324.0,1888.0,1001.0,5398.0,3845.0,2711.0,2515.0,180.0,8351.0,9187.0,,6.0
2020,DE,HC.gov,23961.0,6056.0,668.0,192.0,19914.0,572.0,110.0,6831.0,17905.0,3065.0,1792.0,3491.0,3578.0,4342.0,7377.0,316.0,10744.0,13217.0,,83.1
2020,FL,HC.gov,1913975.0,525509.0,597.0,98.0,1789918.0,533.0,65.0,1237998.0,1388466.0,154496.0,228974.0,268584.0,321663.0,419816.0,484553.0,35889.0,854719.0,1059256.0,,93.5
2020,GA,HC.gov,463910.0,142379.0,566.0,133.0,406728.0,495.0,78.0,301815.0,321531.0,38341.0,55413.0,70950.0,79025.0,100071.0,113721.0,6389.0,202474.0,261436.0,,87.7
2020,HI,HC.gov,20073.0,4784.0,632.0,223.0,15725.0,523.0,138.0,7006.0,15289.0,1242.0,1383.0,2715.0,3768.0,4321.0,6296.0,348.0,8548.0,11525.0,,78.3
2020,IA,HC.gov,54586.0,12615.0,823.0,111.0,48051.0,809.0,34.0,17813.0,41971.0,2678.0,4078.0,8695.0,8553.0,9559.0,20590.0,433.0,25047.0,29539.0,,88.0
2020,ID,SBE,78431.0,18924.0,,,59897.0,,,21677.0,59507.0,14780.0,7732.0,11777.0,12354.0,11350.0,20267.0,171.0,36117.0,41754.0,,76.4
2020,IL,HC.gov,292945.0,63989.0,636.0,224.0,241324.0,500.0,153.0,120866.0,228956.0,20413.0,23564.0,49643.0,45459.0,55810.0,94040.0,4016.0,136489.0,156456.0,,82.4
2020,IN,HC.gov,140931.0,29425.0,544.0,270.0,96839.0,399.0,160.0,57678.0,111506.0,15544.0,10559.0,18990.0,20873.0,25360.0,48727.0,878.0,64560.0,76371.0,,68.7
