state_abbr,year,state,expanded_medicaid,expansion_year,trump_2024,fips_state,total_plan_selections,avg_monthly_premium,avg_premium_after_aptc,pct_with_aptc,medicaid_chip_enrollment,uninsured_rate,total_population,total_uninsured,marketplace_yoy_change,marketplace_yoy_pct,growth_since_2020_pct
AK,2020,Alaska,True,2015.0,True,2,17696.0,739.0,187.0,82.2,239981.0,,,,,,0.0
AK,2021,Alaska,True,2015.0,True,2,18184.0,697.0,197.0,79.3,255746.0,11.41,702154.0,80083.0,488.0,2.8,2.8
AK,2022,Alaska,True,2015.0,True,2,22786.0,746.0,158.0,85.0,263656.0,10.97,701511.0,76973.0,4602.0,25.3,28.8
AK,2023,Alaska,True,2015.0,True,2,25572.0,846.0,224.0,84.0,242860.0,10.39,702315.0,72954.0,2786.0,12.2,44.5
AK,2024,Alaska,True,2015.0,True,2,27464.0,967.0,230.0,85.3,246920.0,10.99,705677.0,77532.0,1892.0,7.4,55.2
AK,2025,Alaska,True,2015.0,True,2,28736.0,1105.0,223.0,87.6,210475.0,,,,1272.0,4.6,62.4
AK,2026,Alaska,True,2015.0,True,2,26079.0,1043.0,344.0,73.8,,,,,-2657.0,-9.2,47.4
AL,2020,Alabama,False,,True,1,160429.0,691.0,130.0,89.8,997966.0,,,,,,0.0
AL,2021,Alabama,False,,True,1,169119.0,729.0,122.0,90.4,1086345.0,9.85,4957633.0,488571.0,8690.0,5.4,5.4
AL,2022,Alabama,False,,True,1,219314.0,765.0,96.0,94.2,1163783.0,8.77,4988625.0,437268.0,50195.0,29.7,36.7
AL,2023,Alabama,False,,True,1,258327.0,743.0,101.0,95.0,1087049.0,8.49,5022427.0,426419.0,39013.0,17.8,61.0
AL,2024,Alabama,False,,True,1,386195.0,706.0,75.0,96.1,956343.0,8.24,5073710.0,417848.0,127868.0,49.5,140.7
AL,2025,Alabama,False,,True,1,477838.0,649.0,65.0,95.7,939065.0,,,,91643.0,23.7,197.9
AL,2026,Alabama,False,,True,1,455776.0,743.0,126.0,91.1,,,,,-22062.0,-4.6,184.1
AR,2020,Arkansas,True,2014.0,True,5,64360.0,522.0,197.0,84.9,950751.0,,,,,,0.0
AR,2021,Arkansas,True,2014.0,True,5,66094.0,546.0,187.0,85.2,1011385.0,9.18,2974701.0,273029.0,1734.0,2.7,2.7
AR,2022,Arkansas,True,2014.0,True,5,88226.0,537.0,134.0,89.5,1079411.0,8.43,2991199.0,252143.0,22132.0,33.5,37.1
AR,2023,Arkansas,True,2014.0,True,5,100407.0,578.0,144.0,90.1,831483.0,8.92,3013015.0,268787.0,12181.0,13.8,56.0
AR,2024,Arkansas,True,2014.0,True,5,156607.0,555.0,116.0,92.3,823234.0,9.39,3032793.0,284915.0,56200.0,56.0,143.3
AR,2025,Arkansas,True,2014.0,True,5,166639.0,591.0,124.0,92.0,801024.0,,,,10032.0,6.4,158.9
AR,2026,Arkansas,True,2014.0,True,5,160307.0,839.0,162.0,86.9,,,,,-6332.0,-3.8,149.1
AZ,2020,Arizona,True,2014.0,True,4,153020.0,589.0,220.0,78.2,1963007.0,,,,,,0.0
AZ,2021,Arizona,True,2014.0,True,4,154504.0,581.0,219.0,77.5,2139682.0,10.68,7174053.0,766140.0,1484.0,1.0,1.0
AZ,2022,Arizona,True,2014.0,True,4,199706.0,554.0,180.0,83.6,2291196.0,10.32,7251924.0,748712.0,45202.0,29.3,30.5
AZ,2023,Arizona,True,2014.0,True,4,235229.0,564.0,162.0,85.3,2037255.0,9.94,7321507.0,727492.0,35523.0,17.8,53.7
AZ,2024,Arizona,True,2014.0,True,4,348055.0,523.0,121.0,88.9,1899615.0,10.27,7473360.0,767380.0,112826.0,48.0,127.5
AZ,2025,Arizona,True,2014.0,True,4,423025.0,524.0,113.0,89.6,1678092.0,,,,74970.0,21.5,176.5
AZ,2026,Arizona,True,2014.0,True,4,357144.0,688.0,229.0,82.7,,,,,-65881.0,-15.6,133.4
