state,date,year,month,chip_enrollment,medicaid_enrollment,total_enrollment
Alabama,2020-01-01,2020,1,171685.0,749028.0,920713.0
Alabama,2020-02-01,2020,2,171414.0,750048.0,921462.0
Alabama,2020-03-01,2020,3,171029.0,750161.0,921190.0
Alabama,2020-04-01,2020,4,173230.0,758633.0,931863.0
Alabama,2020-05-01,2020,5,174883.0,766512.0,941395.0
Alabama,2020-06-01,2020,6,175312.0,774350.0,949662.0
Alabama,2020-07-01,2020,7,174510.0,782619.0,957129.0
Alabama,2020-08-01,2020,8,173905.0,790708.0,964613.0
Alabama,2020-09-01,2020,9,174584.0,798847.0,973431.0
Alabama,2020-10-01,2020,10,175026.0,806987.0,982013.0
Alabama,2020-11-01,2020,11,175349.0,814952.0,990301.0
Alabama,2020-12-01,2020,12,175726.0,822240.0,997966.0
Alabama,2021-01-01,2021,1,176644.0,828731.0,1005375.0
Alabama,2021-02-01,2021,2,177384.0,834598.0,1011982.0
Alabama,2021-03-01,2021,3,178510.0,840769.0,1019279.0
Alabama,2021-04-01,2021,4,179988.0,847477.0,1027465.0
Alabama,2021-05-01,2021,5,181493.0,852968.0,1034461.0
Alabama,2021-06-01,2021,6,182799.0,860236.0,1043035.0
Alabama,2021-07-01,2021,7,184067.0,866627.0,1050694.0
Alabama,2021-08-01,2021,8,185225.0,873449.0,1058674.0
Alabama,2021-09-01,2021,9,186597.0,879630.0,1066227.0
Alabama,2021-10-01,2021,10,186981.0,885400.0,1072381.0
Alabama,2021-11-01,2021,11,187988.0,891290.0,1079278.0
Alabama,2021-12-01,2021,12,188774.0,897571.0,1086345.0
Alabama,2022-01-01,2022,1,189971.0,903790.0,1093761.0
Alabama,2022-02-01,2022,2,190829.0,908709.0,1099538.0
Alabama,2022-03-01,2022,3,191665.0,913895.0,1105560.0
Alabama,2022-04-01,2022,4,192001.0,919231.0,1111232.0
Alabama,2022-05-01,2022,5,192752.0,924905.0,1117657.0
Alabama,2022-06-01,2022,6,193589.0,931097.0,1124686.0
Alabama,2022-07-01,2022,7,194369.0,937078.0,1131447.0
Alabama,2022-08-01,2022,8,195429.0,943003.0,1138432.0
Alabama,2022-09-01,2022,9,196264.0,948813.0,1145077.0
Alabama,2022-10-01,2022,10,196731.0,954060.0,1150791.0
Alabama,2022-11-01,2022,11,197836.0,959550.0,1157386.0
Alabama,2022-12-01,2022,12,198398.0,965385.0,1163783.0
Alabama,2023-01-01,2023,1,199499.0,971368.0,1170867.0
Alabama,2023-02-01,2023,2,204288.0,985219.0,1189507.0
Alabama,2023-03-01,2023,3,205536.0,991468.0,1197004.0
Alabama,2023-04-01,2023,4,205859.0,995789.0,1201648.0
Alabama,2023-05-01,2023,5,198914.0,999970.0,1198884.0
Alabama,2023-06-01,2023,6,199813.0,1004521.0,1204334.0
Alabama,2023-07-01,2023,7,196551.0,987621.0,1184172.0
Alabama,2023-08-01,2023,8,193670.0,968465.0,1162135.0
Alabama,2023-09-01,2023,9,191524.0,949244.0,1140768.0
Alabama,2023-10-01,2023,10,189782.0,933428.0,1123210.0
