year,age_group,uninsured_pct,public_coverage_pct,private_coverage_pct,uninsured_millions
2020,All ages,9.7,38.0,61.8,31.6
2021,All ages,9.2,39.5,60.4,30.0
2022,All ages,8.4,39.5,61.0,27.6
2023,All ages,7.6,40.5,60.7,25.0
2024,All ages,8.2,39.1,61.4,27.2
2020,0-17,5.1,42.2,54.9,3.7
2021,0-17,4.1,44.3,53.8,3.0
2022,0-17,4.2,43.7,54.3,3.0
2023,0-17,3.9,44.2,54.0,2.8
2024,0-17,5.1,41.6,55.4,3.7
2020,18-64,13.9,20.5,67.5,27.5
2021,18-64,13.5,21.7,66.6,26.6
2022,18-64,12.2,22.0,67.8,24.3
2023,18-64,10.9,23.0,68.1,21.8
2024,18-64,11.6,21.2,69.1,23.1
2020,65+,0.8,95.9,50.2,0.4
2021,65+,0.6,96.1,47.1,0.4
2022,65+,0.6,95.2,45.7,0.3
2023,65+,0.7,95.7,43.4,0.4
2024,65+,0.6,95.6,43.2,0.4
